E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),Target_Log1o2,SMILES_Meta
-360.205999,-360.100989,-359.914246,-5.847073831,4.751189673,-11.46614346,7.939003571,-2.85746767,2.540754345,-2.540754345,10.79647124,0.092622918,0.298971501,3.274128416,0.1256,0.1285,0.1271,-0.0698,0.3167,0.3239,0.3203,0.03842,0.41135,8.041392685,C1=C(NC=N1)CCN
-1210.959438,-1210.918724,-1210.64947,-6.740940658,2.772296031,-10.67791123,8.434658972,-1.10788438,3.663387296,-3.663387296,9.542543352,0.104793779,0.703196643,2.380261589,0.1167,0.1161,0.081,-0.0713,0.3327,0.3311,0.231,0.08166,0.27768,5.72427587,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C
-1193.997171,-1193.979961,-1193.713641,-6.026260809,2.009016647,-10.28144133,7.715244342,-0.468335169,3.623468193,-3.623468193,8.183579511,0.122196053,0.802191667,3.094941437,0.1093,0.0829,0.0718,-0.075,0.3635,0.2756,0.2388,0.06649,0.33831,8.731588765,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,CN(C)C(=O)NC1=CC(=C(C=C1)OC)Cl
-306.439036,-306.305227,-306.144162,-5.469624692,5.877142413,-13.33855894,8.023957519,-3.641128382,2.191414569,-2.191414569,11.6650859,0.085725952,0.205826926,3.651577555,0.1669,0.1781,0.1725,-0.0805,0.3893,0.4155,0.4024,0.03667,0.60937,5.342422681,C1COC=CO1
-442.469259,-442.401856,-442.212689,-5.126815648,3.636937829,-10.63137976,6.981625369,-1.834129067,2.573761757,-2.573761757,8.815754436,0.113433324,0.37570761,3.994386598,0.1061,0.1037,0.0905,-0.0609,0.3273,0.3202,0.2795,0.03897,0.42361,8.755874856,CC1=C(NC2=CC=CC=C12)C
-511.968534,-511.973232,-511.637366,-6.888916176,1.973696267,-12.11140706,9.01154036,0.127839093,4.569689726,-4.569689726,8.883701268,0.112565636,1.175314195,2.232286071,0.1386,0.1585,0.1112,-0.0971,0.4245,0.4854,0.3405,0.18625,0.30938,6.113943352,C1=CC=C(C(=C1)[N+](=O)[O-])O
-306.49198,-306.448401,-306.134193,-7.310012378,3.545589205,-13.65143546,9.735880251,-1.185845001,4.275017625,-4.275017625,10.92172525,0.091560642,0.836668493,1.811189869,0.2112,0.1966,0.2039,-0.0443,0.5262,0.4898,0.508,0.16449,0.38255,3.672097858,CC(=C)C(=O)O
-484.396419,-484.274251,-484.099697,-5.950858058,4.850184696,-11.45844263,8.07421695,-3.324360635,2.374928157,-2.374928157,11.39857758,0.087730334,0.247405924,3.170344189,0.2462,0.0702,0.1365,-0.2195,0.5878,0.1677,0.3258,0.01738,0.78068,7.602059991,CC1(CC(CC(N1)(C)C)O)C
-767.070441,-767.009918,-766.769181,-6.108684098,3.746191544,-12.28528782,8.19770222,-1.64691473,3.27538014,-3.27538014,9.84461695,0.101578324,0.544880798,3.012518149,0.2094,0.1252,0.1568,-0.1051,0.5788,0.3461,0.4335,0.06822,0.63078,6.85552,C1=CC(=CC=C1O)Cl
-1008.581715,-1008.502944,-1008.286335,-6.200114356,3.838546989,-10.27621675,8.037699269,-2.143495317,2.947101976,-2.947101976,10.18119459,0.098220318,0.426538479,2.921087891,0.2743,0.1141,0.1928,-0.1629,0.7331,0.3048,0.5154,0.04865,0.80126,7.113943352,CSCC[C@@H](C(=O)O)NC(=O)CN
-691.850108,-691.786439,-691.524725,-6.717865402,3.854193536,-12.80902537,8.854122491,-1.732521751,3.56080037,-3.56080037,10.58664424,0.094458767,0.598840977,2.403336845,0.2557,0.1272,0.1815,-0.1483,0.6572,0.3271,0.4666,0.0762,0.61451,3.322219295,C1=CC=C(C=C1)Cl
-2878.663648,-2878.603393,-2878.367008,-6.034451437,3.707170417,-11.99932336,8.071985616,-1.639622078,3.216195375,-3.216195375,9.711607694,0.102969653,0.53255404,3.08675081,0.2622,0.1243,0.1928,-0.1387,0.7346,0.3482,0.5403,0.06618,0.80931,8.041392685,C1=CC(=CC=C1O)Br
-115.724182,-115.558322,-115.332099,-7.226310154,6.936835427,-17.97265802,10.66914916,-4.513307734,3.077934321,-3.077934321,15.18242969,0.06586559,0.311978543,1.894892093,0.4332,0.3322,0.2984,-0.2696,0.7764,0.5954,0.5348,0.10365,0.82084,3.612783857,CO
-591.715128,-591.654091,-591.447765,-5.39204503,3.396334752,-10.89911259,7.275317861,-1.660874171,2.807208239,-2.807208239,8.936192032,0.111904442,0.440933303,3.729157217,0.1012,0.0934,0.0936,-0.0625,0.3082,0.2844,0.285,0.04118,0.37738,7.301029996,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
-135.172764,-135.012692,-134.84623,-6.032002412,6.379437392,-15.7729984,8.885415585,-4.355781019,2.264830889,-2.264830889,13.2411966,0.075521805,0.193690647,3.089199835,0.3336,0.1717,0.2047,-0.2577,0.6855,0.3529,0.4207,0.03326,1.03047,7.113943352,CNC
-842.293913,-842.226997,-841.998782,-5.990532259,3.897976657,-12.04389561,8.030923634,-1.820849911,3.105036862,-3.105036862,9.851773545,0.101504494,0.489315147,3.130669988,0.1755,0.15,0.1422,-0.0666,0.4848,0.4142,0.3928,0.07338,0.54948,7.322219295,C1=CC(=C(C=C1O)O)Cl
