ID,SMILES,log(1o2),E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),smiles_original,smiles_canonical_rdkit,smiles_kekule_rdkit,inchikey_rdkit,smiles_status,dup_count,is_duplicate
"2,6-Dimethoxyphenol",COC1=C(C(=CC=C1)OC)O,7.556302501,-536.520173,-536.428544,-536.252537,-5.290845885,4.462912247,-10.92349399,7.282719358,-2.493324899,2.394710835,-2.394710835,9.776071468,0.102290709,0.293284321,3.830356362,0.1224,0.1433,0.1222,-0.051,0.3406,0.3988,0.3401,0.04202,0.46867,COC1=C(C(=CC=C1)OC)O,COc1cccc(OC)c1O,COC1=C(O)C(OC)=CC=C1,KLIDCXVFHGNTTM-UHFFFAOYSA-N,OK,1,FALSE
"2,6-Dimethylphenol",CC1=C(C(=CC=C1)C)O,6.707570176,-386.116496,-386.034174,-385.83001,-5.727724691,4.219696877,-11.74337306,7.7956812,-2.240095739,2.777792731,-2.777792731,10.03574973,0.099643692,0.384442465,3.393477556,0.1298,0.1181,0.0921,-0.0868,0.352,0.3201,0.2497,0.04539,0.44048,CC1=C(C(=CC=C1)C)O,Cc1cccc(C)c1O,CC1=C(O)C(C)=CC=C1,NXXYKOUNUYWIHA-UHFFFAOYSA-N,OK,1,FALSE
2-Benzylphenol,C1=CC=C(C=C1)CC2=CC=CC=C2O,7.639486489,-577.848237,-577.792993,-577.567833,-5.890530415,3.105717146,-10.23205267,7.63020876,-1.503293033,3.063457864,-3.063457864,9.133474582,0.109487292,0.513750972,3.230671832,0.0857,0.0792,0.0714,-0.0532,0.2553,0.236,0.2128,0.0407,0.27685,C1=CC=C(C=C1)CC2=CC=CC=C2O,Oc1ccccc1Cc1ccccc1,OC1=CC=CC=C1CC1=CC=CC=C1,CDMGNVWZXRKJNS-UHFFFAOYSA-N,OK,1,FALSE
2-Butanol,CCC(C)O,3.716003344,-233.683483,-233.541038,-233.319396,-7.12551918,5.756024533,-14.16224761,9.907284773,-3.876098702,3.015593035,-3.015593035,13.78341069,0.07255099,0.329883635,1.995683067,0.3154,0.2148,0.2056,-0.2195,0.6227,0.4241,0.406,0.07087,0.62946,CCC(C)O,CCC(C)O,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OK,1,FALSE
2-Chlorophenol,C1=CC=C(C(=C1)O)Cl,6.95904,-767.072885,-767.01053,-766.764399,-6.272278952,3.780423468,-12.41987533,8.394331697,-1.696765989,3.34879646,-3.34879646,10.0911249,0.099097046,0.555656507,2.848923294,0.1576,0.1291,0.1434,-0.0897,0.425,0.3482,0.3866,0.07175,0.44899,C1=CC=C(C(=C1)O)Cl,Oc1ccccc1Cl,OC1=CC=CC=C1Cl,ISPYQTSUDJAMAB-UHFFFAOYSA-N,OK,1,FALSE
2-Methoxyphenol,COC1=CC=CC=C1O,6.77815125,-422.002025,-421.915121,-421.721116,-5.550632989,4.456653628,-11.86775631,7.643923299,-2.36477831,2.639558889,-2.639558889,10.00872882,0.099912881,0.348060841,3.570569258,0.1206,0.139,0.098,-0.0677,0.3278,0.3778,0.2663,0.04836,0.4305,COC1=CC=CC=C1O,COc1ccccc1O,COC1=CC=CC=C1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,OK,1,FALSE
2-Methylfuran,CC1=CC=CO1,7.77815125,-269.350127,-269.246129,-269.049442,-5.802447158,5.080012064,-13.22133229,8.182055673,-2.829929747,2.676076569,-2.676076569,11.01201263,0.090809964,0.325148854,3.318755089,0.1797,0.1566,0.1682,-0.0248,0.4442,0.3869,0.4155,0.05091,0.59653,CC1=CC=CO1,Cc1ccco1,CC1=CC=CO1,VQKFNUFAXTZWDK-UHFFFAOYSA-N,OK,1,FALSE
2-Naphthol,C1=CC=C2C=C(C=CC2=C1)O,5,-461.120631,-461.088306,-460.848916,-5.533299336,2.711614639,-11.08110234,7.393741814,-0.87960806,3.257066877,-3.257066877,8.273349874,0.120870064,0.641127471,3.587902911,0.1012,0.0906,0.0883,-0.0432,0.3328,0.298,0.2904,0.0581,0.36304,C1=CC=C2C=C(C=CC2=C1)O,Oc1ccc2ccccc2c1,OC1=CC2=CC=CC=C2C=C1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,OK,1,FALSE
2-Nitro-4-chlorophenolate,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,7.322219295,-971.579054,-971.612476,-971.253583,-6.874929524,1.177627163,-12.77980034,8.856489881,0.909458951,4.882974416,-4.882974416,7.94703093,0.125832987,1.500136512,2.246272723,0.2079,0.1647,0.1465,-0.1227,0.7118,0.5638,0.5017,0.24701,0.46694,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,O=[N+]([O-])c1cc(Cl)ccc1O,O=[N+]([O-])C1=C(O)C=CC(Cl)=C1,NWSIFTLPLKCTSX-UHFFFAOYSA-N,OK,1,FALSE
2-Nitrophenol,C1=CC=C(C(=C1)[N+](=O)[O-])O,6.113943352,-511.968534,-511.973232,-511.637366,-6.888916176,1.973696267,-12.11140706,9.01154036,0.127839093,4.569689726,-4.569689726,8.883701268,0.112565636,1.175314195,2.232286071,0.1386,0.1585,0.1112,-0.0971,0.4245,0.4854,0.3405,0.18625,0.30938,C1=CC=C(C(=C1)[N+](=O)[O-])O,O=[N+]([O-])c1ccccc1O,O=[N+]([O-])C1=CC=CC=C1O,IQUPABOKLQSFBK-UHFFFAOYSA-N,OK,1,FALSE
